st_teff,dec,pl_rade,pl_eqt,type,Status,pl_insol,st_rad,st_tmag,pl_orbper,ra,st_logg
5380.0,-62.469317,13.086872,1308.041753,TESS,KP,691.8428073,0.940697,13.183,2.1061569,0.774487,4.4337
6610.0,-58.697242,11.1276,1899.0,TESS,FP,2162.73,1.64,9.6789,2.4545635,286.791829,4.15
7262.0,-60.941042,14.1098,512.0,TESS,FP,11.4585,2.13,9.3871,11.4756978,291.373783,4.0
6819.0,-87.269735,4.92567,1680.0,TESS,FP,1323.21,2.21,9.5162,2.78186,163.628917,3.92
3469.0,-77.337433,4.59203,471.0,TESS,FP,8.2114,0.53,9.66865,6.4410082,328.710839,4.71
8048.0,-71.552443,,1344.953181,TESS,APC,773.3029498,,8.1129,2.4887726,302.147728,4.438
6708.3,-54.910806,15.8858,1571.0,TESS,APC,1013.74,1.57,10.526,4.45199,283.301843,4.2
5551.0,-75.848774,2.3107394,971.6657708,TESS,PC,210.6631712,0.906282,9.5268,5.0100708,27.699972,4.46214
5731.0,-66.419974,2.56778,1434.0,TESS,PC,702.927,1.02,10.4055,2.2281625,273.602061,4.43
4898.4,-44.625506,,1386.0,TESS,FP,613.964,,10.5084,4.13812,277.432937,
6456.0,-46.278074,23.9726,1389.0,TESS,APC,619.065,2.07,10.5024,10.95663,292.604815,3.92
5650.0,-65.19378,13.8516093,1399.989438,TESS,KP,907.8624196,1.13732,11.6035,2.4997996,55.933639,4.28867
7301.0,-45.892667,13.3343,2561.0,TESS,FP,7149.89,1.64,10.4063,1.66226,293.389272,4.23
,-46.065523,,,TESS,FP,,,11.0605,4.07611,269.648642,
6317.0,-52.262928,4.3503,,TESS,FP,919.571,1.38,10.2934,3.6245513,281.369481,
5159.8,-37.304009,15.1764,,TESS,APC,,1.27,10.2398,1.20928,292.391505,4.23
6690.0,-43.982529,14.0061,1863.0,TESS,APC,2000.01,1.49,7.2235,3.5187707,300.212928,4.24
8271.0,-46.369991,4.1624907,3996.287792,TESS,PC,60276.50005,2.5027299,8.0465,0.7724825,298.287708,3.95
5034.0,-43.620606,2.36498,1850.0,TESS,FP,1946.23,0.73,10.3579,1.6268695,279.062469,4.64
8268.5,-36.00026,,4502.0,TESS,FP,68217.5,,7.3163,2.32439,292.195297,3.93
6209.0,-43.074223,6.24633,660.0,TESS,FP,31.6652,1.63,9.7298,13.5499,289.761799,4.09
7101.9,-29.398357,19.9664,2653.0,TESS,FP,8233.41,2.32,8.7823,4.43651,284.157959,3.91
6050.0,-30.749719,14.201803,1270.187448,TESS,KP,615.165921,1.02,12.1893,3.372877,332.714337,4.45061
4236.0,-41.43764,11.1424,588.0,TESS,CP,19.9348,0.74,10.1429,8.34998,286.376004,4.52
4236.0,-41.43764,3.7548333,772.378302,TESS,CP,84.108766,0.741921,10.1429,4.0686405,286.376004,4.52
5579.0,61.718334,4.906408,3263.672181,TESS,PC,26813.10571,2.39803,9.2872,0.5860366,248.433545,3.67
7851.0,54.781445,3.34528,2839.0,TESS,FP,10796.6,1.86,9.2293,1.5502952,298.781281,4.17
6244.0,31.958037,4.86242,2569.0,TESS,FP,7233.01,2.2,9.11458,1.80709,294.824079,3.84
6277.0,36.637774,18.1458,1141.0,TESS,FP,282.175,1.65,9.03609,18.6922101,290.02096,4.09
5962.7,85.129495,9.06883,1106.0,TESS,CP,248.619,1.15,9.02855,8.0277326,193.39637,4.38
5729.0,64.855276,5.58857,1393.0,TESS,CP,626.362,0.98,8.9361,12.5187279,192.184898,4.47
5729.0,64.855276,2.51593,1087.0,TESS,CP,232.392,0.98,8.9361,6.2586065,192.184898,4.47
5729.0,64.855276,2.71349,631.0,TESS,CP,26.4328,0.98,8.9361,26.3208756,192.184898,4.47
5729.0,64.855276,2.1597669,672.9826313,TESS,CP,48.477077,0.977727,8.9361,18.795547,192.184898,4.47
4919.6,30.409951,34.7561624,1982.71421,TESS,PC,3652.258249,6.3070302,9.00558,1.3206356,301.17768,
9994.0,25.189437,6.23181,4731.0,TESS,FP,83182.0,2.59,8.90601,0.64971,291.463084,4.02
7947.0,31.925687,11.3678,3715.0,TESS,PC,31621.7,1.83,8.86193,4.4780798,304.034336,4.2
5800.0,-69.226593,10.5135877,1338.839265,TESS,KP,759.3373533,1.24175,10.6103,3.2887898,63.374706,4.28004
5941.5,56.078974,12.05,844.0,TESS,FP,84.3234,1.34,8.88797,13.7431084,264.961539,
5894.7,80.307766,45.2204505,758.5937679,TESS,FP,78.263287,1.1179,8.8523,16.9487087,247.534722,4.37
7518.0,56.615386,42.2321,2775.0,TESS,FP,9856.24,2.68,8.64028,3.3686634,290.708965,3.82
6152.0,77.352264,17.4989,1487.0,TESS,FP,813.063,2.24,8.63287,11.2071839,182.538652,3.84
4757.3,48.081864,5.29152,810.0,TESS,KP,71.6805,0.76,8.5077,4.8878037,297.710176,4.56
8562.5,36.529898,,2076.0,TESS,FP,3089.18,,8.5011,2.97164,291.92142,
8598.7,30.297329,6.1672487,5717.153248,TESS,FP,252487.7639,2.62432,8.40386,0.660179,292.286802,4.1
6259.0,83.428826,49.1695,1129.0,TESS,FP,270.142,2.92,8.36544,10.9278415,266.962207,3.59
6403.9,71.655727,15.8043,1482.0,TESS,KP,802.858,1.55,7.9179,5.5514888,161.909027,4.16
8737.5,26.892025,,3115.380123,TESS,APC,22262.05136,,7.9172,2.3202418,300.774016,
5377.0,-56.316102,10.5505922,970.6340996,TESS,KP,209.7699043,0.877585,13.0417,4.7423709,6.70264,4.42476
9435.0,39.938916,20.3402421,3446.021057,TESS,KP,33326.73049,2.28773,7.58204,1.4810903,307.8599,4.11
8894.8,31.2192,21.2912,2084.333087,TESS,KP,3453.07,1.62,7.55216,3.4741012,294.661413,4.38
5485.0,37.380825,,976.5873888,TESS,FA,214.9638584,,8.0348,6.5011911,283.489697,
6528.3,85.705076,9.86763,1293.0,TESS,APC,464.097,1.69,8.40534,6.0360758,182.691562,4.21
5704.0,64.699214,2.10208,642.0,TESS,PC,28.2504,0.93,9.3188,21.745537,254.924043,4.51
,32.471019,,,TESS,FP,,,9.711,1.32003,309.275852,
,26.971662,,,TESS,FP,,,9.7032,1.6865822,300.419309,
5709.8,68.458705,35.7944,1074.0,TESS,FP,221.343,3.59,9.6043,13.0727479,144.341393,3.37
4884.5,29.596296,24.4055,2066.0,TESS,FP,3028.51,1.3,9.5967,2.9258727,293.427359,
6449.5,48.098942,5.28215,,TESS,FP,,2.1,9.5937,0.73774,282.42081,3.94
4920.0,-70.152862,11.9514993,1089.145817,TESS,KP,332.556249,0.906655,11.0443,2.7985802,357.846434,4.49371
,30.67067,,,TESS,FP,,,9.577,2.3664127,301.317709,
7986.1,46.868246,,2608.0,TESS,KP,7685.79,,10.2306,1.7635881,286.971388,
8730.0,41.462366,,1647.0,TESS,PC,1221.82,,9.65306,7.3166682,305.289344,
9311.3,19.639255,,1827.644575,TESS,PC,2636.865442,,9.47751,3.0771612,294.091757,
,37.508561,,,TESS,FP,,,9.329701,3.2077145,307.336613,
5787.0,66.35871,14.688,1348.0,TESS,KP,549.715,0.96,9.76703,2.2552845,232.146641,4.5
5900.4,37.53859,8.29008,3091.0,TESS,FP,15173.2,1.13,9.7604,1.8824539,293.764981,4.39
5807.0,71.618139,4.96345,,TESS,FP,,1.14,10.3874,15.196,198.152378,
5969.0,38.431023,23.6019,1745.0,TESS,FP,1540.95,1.5,10.381,2.1358631,301.710466,4.17
6134.3,72.533276,17.4647,1079.0,TESS,PC,225.822,1.24,10.6405,6.7075429,134.120039,
5704.8,-58.904724,16.4747611,1658.39152,TESS,KP,1787.595594,2.00441,11.7806,3.5862962,15.006077,3.84
7875.0,52.040842,29.3616,3751.0,TESS,FP,32867.0,3.5,10.349,1.8296155,300.805115,3.61
7266.0,35.988359,31.8624,1499.0,TESS,FP,838.609,2.05,10.3075,11.1876137,299.273862,4.06
,55.26639,,,TESS,FP,,,10.3018,7.8513949,282.474539,
5429.6,70.768012,9.39131,890.0,TESS,CP,104.311,0.96,10.2938,7.0643978,197.683097,4.44
5029.5,68.618211,2.35888,723.0,TESS,CP,45.5604,0.76,10.2549,8.9534775,209.217175,4.61
6229.0,31.323574,5.55812,940.0,TESS,FP,129.866,1.27,10.2026,7.5022708,289.238688,4.31
6557.7,71.505873,12.4023108,1028.532029,TESS,PC,264.4796635,1.57435,10.1772,14.0077666,247.35668,4.18
9121.5,41.326844,11.2371,5800.0,TESS,FP,187927.0,2.1,10.1617,1.692892,297.30004,4.21
4043.4,55.391781,2.35964,2045.0,TESS,FP,2905.35,0.56,10.1358,2.6652007,279.101036,4.69
4927.9,67.240043,8.67407,1715.0,TESS,APC,1437.18,0.78,10.1313,1.2615323,187.055897,4.57
5586.0,-56.903986,4.44029,788.0,TESS,CP,64.2648,1.05,9.179,6.0344667,349.559266,4.36763
4738.1,82.193764,3.00336,707.0,TESS,CP,41.6645,0.73,10.112,9.6867516,214.555774,4.59
6122.0,64.354351,16.7087,3037.0,TESS,CP,14140.0,1.93,10.079,2.1031647,297.215817,3.93
6496.7,65.306346,27.538,1303.0,TESS,FP,478.683,2.05,10.0049,7.6416041,201.614657,
5095.6,71.712377,10.8101,,TESS,FP,456.893,1.06,9.9478,5.9294088,286.74712,
4534.0,60.678785,2.35215,820.0,TESS,CP,75.272,0.69,9.9469,5.7484439,272.20452,4.61
5997.0,34.829667,10.3239,3534.0,TESS,FP,25917.9,1.73,9.94025,1.1967018,297.459433,4.0
6115.7,65.715035,17.6677,1218.0,TESS,FP,365.938,2.01,9.92402,11.2464616,251.633465,3.89
6389.0,81.322174,4.47229,1159.0,TESS,PC,300.014,1.4,9.9002,2.5941968,162.893176,4.26
8156.0,38.93227,,,TESS,FP,,,9.886581,8.5112,306.730853,4.35
5286.9,24.20119,,,TESS,PC,,,9.8744,3.9687994,292.223229,
5332.0,-58.016153,2.04482,1117.0,TESS,PC,258.843,0.82,9.2789,5.5411114,99.238421,4.56429
5332.0,-58.016153,1.79811,710.0,TESS,PC,42.2657,0.82,9.2789,10.6917268,99.238421,4.56429
7106.7,59.403853,14.1288,1904.0,TESS,APC,2184.62,1.63,9.80529,3.6950015,292.734132,4.2
6800.0,37.720014,24.3218,1219.0,TESS,FP,367.588,2.21,9.7831,15.7335693,283.526697,3.91
6479.3,44.0808,28.3312,,TESS,APC,20.4053,1.28,10.4999,45.9403293,286.550056,
